orf_name,miller,presnyak,geisberg,half_life
YEL050C,10.33,5.6,32.0,15.9766666667
YEL051W,65.57,18.1,36.0,39.89
YEL052W,16.29,6.2,37.0,19.83
YEL053C,11.72,4.9,21.0,12.54
YEL054C,31.27,11.1,13.0,18.4566666667
YEL055C,18.15,34.0,10.0,20.7166666667
YEL056W,10.65,,29.0,19.825
YEL057C,,,24.0,24.0
YEL058W,34.46,23.7,33.0,30.3866666667
YEL059C-A,22.34,,36.0,29.17
YEL060C,30.12,,76.0,53.06
YEL061C,8.18,5.2,26.0,13.1266666667
YEL062W,5.66,14.2,45.0,21.62
YEL063C,10.26,4.2,,7.23
YEL064C,,5.4,35.0,20.2
YEL065W,12.34,5.3,55.0,24.2133333333
YEL066W,46.51,19.3,29.0,31.6033333333
YEL068C,,,23.0,23.0
YEL069C,,,38.0,38.0
YEL071W,28.27,10.1,41.0,26.4566666667
YEL072W,3.97,22.1,49.0,25.0233333333
YEL077C,6.98,,,6.98
YER001W,13.26,2.9,30.0,15.3866666667
YER002W,10.15,3.4,13.0,8.85
YER003C,71.87,59.7,26.0,52.5233333333
YER004W,26.31,36.6,,31.455
YER005W,9.84,5.9,31.0,15.58
YER006W,19.92,7.3,8.0,11.74
YER007C-A,29.43,18.5,15.0,20.9766666667
YER007W,8.5,,22.0,15.25
YER008C,8.98,32.4,39.0,26.7933333333
YER009W,48.72,26.4,31.0,35.3733333333
YER010C,30.66,11.1,39.0,26.92
YER011W,41.77,,80.0,60.885
YER012W,17.78,8.5,42.0,22.76
YER013W,7.64,6.5,34.0,16.0466666667
YER014W,16.25,16.4,51.0,27.8833333333
YER015W,,,48.0,48.0
YER016W,14.59,6.6,22.0,14.3966666667
YER017C,7.45,6.1,50.0,21.1833333333
YER018C,9.4,,38.0,23.7
YER019C-A,23.98,16.1,28.0,22.6933333333
YER019W,14.2,5.8,29.0,16.3333333333
YER020W,5.72,6.5,53.0,21.74
YER021W,,12.6,42.0,27.3
YER022W,,6.5,27.0,16.75
YER023W,72.1,57.6,36.0,55.2333333333
YER024W,7.98,,66.0,36.99
YER025W,32.2,5.3,17.0,18.1666666667
YER026C,18.81,5.2,47.0,23.67
YER027C,15.25,5.7,21.0,13.9833333333
YER028C,5.41,5.2,30.0,13.5366666667
YER029C,4.78,4.9,22.0,10.56
YER030W,19.58,20.5,24.0,21.36
YER031C,39.92,14.0,34.0,29.3066666667
YER032W,7.67,3.6,23.0,11.4233333333
YER033C,,9.9,42.0,25.95
YER034W,2.36,2.4,,2.38
YER035W,,18.3,56.0,37.15
YER036C,37.76,10.1,11.0,19.62
YER037W,,,55.0,55.0
YER038C,,6.6,,6.6
YER039C,,5.3,98.0,51.65
YER040W,5.93,5.1,37.0,16.01
YER041W,,5.4,,5.4
YER042W,29.77,,8.0,18.885
YER043C,59.11,,22.0,40.555
YER044C,19.04,10.4,98.0,42.48
YER045C,5.49,,,5.49
YER046W,7.16,,32.0,19.58
YER047C,,,30.0,30.0
YER048C,41.12,16.9,25.0,27.6733333333
YER048W-A,5.7,10.7,42.0,19.4666666667
YER049W,20.87,4.5,11.0,12.1233333333
YER050C,6.77,8.1,42.0,18.9566666667
YER051W,9.06,4.7,48.0,20.5866666667
YER052C,17.58,17.4,40.0,24.9933333333
YER053C,6.9,,80.0,43.45
YER053C-A,,,149.0,149.0
YER054C,,,71.0,71.0
YER055C,37.13,5.5,30.0,24.21
YER056C,16.88,1.4,29.0,15.76
YER056C-A,23.35,19.6,13.0,18.65
YER057C,70.09,36.9,37.0,47.9966666667
YER058W,6.46,6.6,30.0,14.3533333333
YER059W,5.44,5.9,31.0,14.1133333333
YER060W,,10.3,,10.3
YER060W-A,,8.8,46.0,27.4
YER061C,,4.6,29.0,16.8
YER062C,52.94,11.6,57.0,40.5133333333
YER063W,22.98,5.3,29.0,19.0933333333
YER064C,3.58,3.3,11.0,5.96
YER065C,,4.9,42.0,23.45
YER066W,,,49.0,49.0
YER067W,5.82,,,5.82
YER068W,6.05,11.3,31.0,16.1166666667
YER069W,18.24,13.4,47.0,26.2133333333
YER070W,9.14,4.9,22.0,12.0133333333
YER071C,10.38,,42.0,26.19
YER072W,22.81,5.7,34.0,20.8366666667
YER073W,17.77,2.4,10.0,10.0566666667
YER074W,26.08,30.1,15.0,23.7266666667
YER074W-A,15.0,,30.0,22.5
YER075C,6.87,4.5,27.0,12.79
YER076C,11.22,,30.0,20.61
YER077C,6.22,,35.0,20.61
YER078C,20.54,11.1,22.0,17.88
YER079W,4.05,,48.0,26.025
YER080W,28.68,37.1,32.0,32.5933333333
YER081W,22.96,52.8,39.0,38.2533333333
YER082C,12.76,10.4,12.0,11.72
YER083C,17.69,8.4,45.0,23.6966666667
YER086W,47.88,9.4,35.0,30.76
YER087C-B,17.42,6.5,30.0,17.9733333333
YER087W,9.67,9.5,37.0,18.7233333333
YER088C,25.04,17.8,35.0,25.9466666667
YER089C,19.44,10.7,27.0,19.0466666667
YER090W,50.36,29.3,39.0,39.5533333333
YER091C,60.69,,33.0,46.845
YER092W,5.97,6.9,48.0,20.29
YER093C,4.98,13.8,39.0,19.26
YER093C-A,,,33.0,33.0
YER094C,23.42,13.6,33.0,23.34
YER095W,6.84,19.8,42.0,22.88
YER096W,,,45.0,45.0
YER098W,,,35.0,35.0
YER099C,12.55,6.2,17.0,11.9166666667
YER100W,11.52,17.7,33.0,20.74
YER101C,8.69,29.6,56.0,31.43
YER102W,40.55,18.1,13.0,23.8833333333
YER103W,9.96,,56.0,32.98
YER104W,,,32.0,32.0
YER105C,12.17,56.8,31.0,33.3233333333
YER106W,,,12.0,12.0
YER107C,13.04,3.8,30.0,15.6133333333
YER109C,5.52,3.4,26.0,11.64
YER110C,40.85,39.7,9.0,29.85
YER111C,,26.2,31.0,28.6
YER112W,8.11,3.5,29.0,13.5366666667
YER113C,9.88,7.2,29.0,15.36
YER114C,11.48,22.9,21.0,18.46
YER115C,5.87,12.1,27.0,14.99
YER116C,7.29,5.3,,6.295
YER117W,34.36,27.2,15.0,25.52
YER118C,15.51,,15.0,15.255
YER119C,18.11,27.4,42.0,29.17
YER120W,28.76,18.9,33.0,26.8866666667
YER121W,,,38.0,38.0
YER122C,20.38,9.2,34.0,21.1933333333
YER123W,7.59,,36.0,21.795
YER124C,7.64,4.4,35.0,15.68
YER125W,19.47,20.6,49.0,29.69
YER126C,8.67,8.1,10.0,8.92333333333
YER127W,5.73,2.7,12.0,6.81
YER128W,9.32,3.2,48.0,20.1733333333
YER129W,,4.7,40.0,22.35
YER130C,5.73,1.1,39.0,15.2766666667
YER131W,27.15,7.0,10.0,14.7166666667
YER132C,4.6,,28.0,16.3
YER133W,19.6,11.7,18.0,16.4333333333
YER134C,9.65,9.2,40.0,19.6166666667
YER136W,21.72,36.2,39.0,32.3066666667
YER137C,,,9.0,9.0
YER138W-A,,,33.0,33.0
YER139C,7.19,34.1,17.0,19.43
YER140W,,,30.0,30.0
YER141W,16.64,20.3,54.0,30.3133333333
YER142C,15.13,,15.0,15.065
YER143W,7.42,25.1,37.0,23.1733333333
YER144C,,5.7,35.0,20.35
YER145C,20.25,4.8,40.0,21.6833333333
YER146W,24.95,5.1,15.0,15.0166666667
YER147C,4.7,5.6,31.0,13.7666666667
YER148W,16.89,8.9,,12.895
YER149C,8.14,4.3,11.0,7.81333333333
YER150W,7.1,,71.0,39.05
YER151C,14.24,,32.0,23.12
YER152C,18.52,23.3,20.0,20.6066666667
YER154W,10.25,9.5,20.0,13.25
YER155C,16.46,39.6,41.0,32.3533333333
YER156C,20.97,,14.0,17.485
YER157W,8.63,7.9,34.0,16.8433333333
YER158C,,,69.0,69.0
YER159C,3.34,3.0,21.0,9.11333333333
YER161C,3.87,6.8,30.0,13.5566666667
YER162C,,7.8,,7.8
YER163C,41.58,27.7,46.0,38.4266666667
YER164W,11.76,50.5,29.0,30.42
YER165W,70.75,41.7,16.0,42.8166666667
YER166W,14.55,10.1,29.0,17.8833333333
YER167W,9.17,,36.0,22.585
YER168C,11.36,5.2,27.0,14.52
YER169W,4.11,3.4,,3.755
YER170W,6.91,4.1,,5.505
YER171W,9.87,4.0,35.0,16.29
YER172C,8.3,14.6,29.0,17.3
YER173W,7.18,3.2,48.0,19.46
YER174C,12.25,7.1,55.0,24.7833333333
YER175C,29.17,12.3,53.0,31.49
YER176W,11.61,,40.0,25.805
YER177W,37.38,15.5,33.0,28.6266666667
YER178W,105.68,,,105.68
YER179W,,7.0,34.0,20.5
YER180C,2.95,4.4,30.0,12.45
YER182W,7.69,,51.0,29.345
YER183C,17.87,5.4,28.0,17.09
YER184C,,,21.0,21.0
YER185W,,,60.0,60.0
YER186C,13.22,,22.0,17.61
YER187W,,,33.0,33.0
YFL001W,7.65,3.0,11.0,7.21666666667
YFL002C,8.94,3.0,9.0,6.98
YFL003C,,,10.0,10.0
YFL004W,32.82,14.1,30.0,25.64
YFL005W,28.02,12.1,39.0,26.3733333333
YFL007W,22.64,,38.0,30.32
YFL008W,7.58,18.6,33.0,19.7266666667
YFL009W,12.1,7.5,21.0,13.5333333333
YFL010C,67.07,,31.0,49.035
YFL010W-A,47.24,,,47.24
YFL012W,,,51.0,51.0
YFL013C,8.47,24.8,41.0,24.7566666667
YFL014W,-207.75,,209.0,0.625
YFL016C,14.78,,,14.78
YFL017C,13.92,5.9,16.0,11.94
YFL017W-A,,6.0,26.0,16.0
YFL018C,53.45,,43.0,48.225
YFL020C,,,68.0,68.0
YFL021W,5.43,,42.0,23.715
YFL022C,39.67,25.3,27.0,30.6566666667
YFL023W,9.14,2.9,9.0,7.01333333333
YFL024C,5.61,2.5,47.0,18.37
YFL025C,10.3,5.7,44.0,20.0
YFL026W,18.54,4.7,84.0,35.7466666667
YFL027C,5.74,9.4,44.0,19.7133333333
YFL028C,20.69,6.7,35.0,20.7966666667
YFL029C,11.95,6.7,33.0,17.2166666667
YFL030W,,10.5,52.0,31.25
YFL031W,61.68,6.6,54.0,40.76
YFL033C,,22.2,57.0,39.6
YFL034C-A,6.69,3.0,29.0,12.8966666667
YFL034C-B,4.74,3.0,37.0,14.9133333333
YFL034W,11.32,,42.0,26.66
YFL036W,7.03,,46.0,26.515
YFL037W,45.94,49.0,31.0,41.98
YFL038C,41.33,37.5,48.0,42.2766666667
YFL039C,66.93,56.4,44.0,55.7766666667
YFL041W,16.47,4.4,50.0,23.6233333333
YFL041W-A,,,68.0,68.0
YFL042C,11.72,,,11.72
YFL044C,21.3,23.4,,22.35
YFL045C,33.92,12.7,27.0,24.54
YFL046W,12.47,,27.0,19.735
YFL047W,11.88,11.8,50.0,24.56
YFL048C,24.55,11.7,39.0,25.0833333333
YFL049W,7.4,5.3,34.0,15.5666666667
YFL050C,,14.2,31.0,22.6
YFL053W,,,199.0,199.0
YFL054C,,,58.0,58.0
YFL055W,,21.6,37.0,29.3
YFL056C,,6.7,,6.7
YFL057C,0.23,,51.0,25.615
YFL059W,22.39,,,22.39
YFL060C,10.69,,,10.69
YFL062W,15.19,,37.0,26.095
YFL066C,5.1,,,5.1
YFR001W,11.39,2.9,10.0,8.09666666667
YFR002W,8.44,,32.0,20.22
YFR003C,9.79,11.9,67.0,29.5633333333
YFR004W,11.89,8.9,33.0,17.93
YFR005C,6.94,3.5,28.0,12.8133333333
YFR006W,40.56,,32.0,36.28
YFR007W,13.74,9.0,42.0,21.58
YFR008W,,10.1,40.0,25.05
YFR009W,31.73,50.4,,41.065
YFR010W,14.46,39.3,59.0,37.5866666667
YFR011C,11.78,4.1,30.0,15.2933333333
YFR012W-A,,,15.0,15.0
YFR013W,13.03,5.3,29.0,15.7766666667
YFR014C,11.69,8.4,46.0,22.03
YFR015C,,,124.0,124.0
YFR016C,19.51,59.7,29.0,36.07
YFR017C,,,91.0,91.0
YFR018C,15.8,,17.0,16.4
YFR019W,12.28,27.3,42.0,27.1933333333
YFR021W,5.04,11.2,35.0,17.08
YFR022W,,8.1,39.0,23.55
YFR023W,,,29.0,29.0
YFR024C-A,27.93,12.6,30.0,23.51
YFR025C,27.35,7.9,25.0,20.0833333333
YFR026C,,3.3,33.0,18.15
YFR027W,2.39,3.8,29.0,11.73
YFR028C,8.97,3.2,16.0,9.39
YFR029W,5.28,4.5,31.0,13.5933333333
YFR030W,10.58,41.5,48.0,33.36
YFR031C,9.5,4.4,30.0,14.6333333333
YFR031C-A,47.89,16.1,14.0,25.9966666667
YFR032C-A,11.25,26.9,15.0,17.7166666667
YFR032C-B,24.69,,,24.69
YFR033C,9.31,6.7,46.0,20.67
YFR034C,3.11,3.4,,3.255
YFR036W,,4.0,,4.0
YFR037C,18.57,6.5,29.0,18.0233333333
YFR038W,9.33,3.4,17.0,9.91
YFR039C,10.88,6.9,36.0,17.9266666667
YFR040W,6.43,6.2,42.0,18.21
YFR041C,20.28,4.8,29.0,18.0266666667
YFR042W,12.3,9.4,38.0,19.9
YFR043C,8.69,3.3,34.0,15.33
YFR044C,97.61,49.0,41.0,62.5366666667
YFR045W,5.08,,49.0,27.04
YFR046C,7.88,,32.0,19.94
YFR047C,80.25,24.3,,52.275
YFR048W,9.94,3.6,31.0,14.8466666667
YFR049W,21.86,11.1,58.0,30.32
YFR050C,15.7,6.8,43.0,21.8333333333
YFR051C,21.49,14.4,30.0,21.9633333333
YFR052W,11.04,14.0,46.0,23.68
YFR053C,34.64,,,34.64
YFR055W,9.65,,21.0,15.325
YGL001C,28.2,14.5,32.0,24.9
YGL002W,17.82,7.9,33.0,19.5733333333
YGL003C,5.89,14.7,49.0,23.1966666667
YGL004C,9.93,15.2,,12.565
YGL005C,8.87,5.4,39.0,17.7566666667
YGL006W,16.34,8.8,41.0,22.0466666667
YGL008C,42.12,27.9,13.0,27.6733333333
YGL009C,49.19,45.8,10.0,34.9966666667
YGL010W,4.27,,96.0,50.135
YGL011C,22.77,19.7,45.0,29.1566666667
YGL012W,52.73,7.5,51.0,37.0766666667
YGL013C,4.02,10.2,30.0,14.74
YGL014W,13.83,5.8,33.0,17.5433333333
YGL016W,27.96,17.2,30.0,25.0533333333
YGL017W,8.94,3.5,33.0,15.1466666667
YGL018C,8.13,8.8,33.0,16.6433333333
YGL019W,23.49,10.1,29.0,20.8633333333
YGL020C,17.01,5.2,26.0,16.07
YGL021W,8.02,,46.0,27.01
YGL022W,45.89,12.0,32.0,29.9633333333
YGL023C,16.57,5.5,40.0,20.69
YGL025C,4.3,3.9,33.0,13.7333333333
YGL026C,59.87,,45.0,52.435
YGL027C,35.69,22.4,26.0,28.03
YGL028C,7.14,4.7,30.0,13.9466666667
YGL029W,,2.6,8.0,5.3
YGL030W,25.2,16.2,15.0,18.8
YGL031C,49.62,13.0,12.0,24.8733333333
YGL032C,8.74,6.8,,7.77
YGL033W,,,49.0,49.0
YGL035C,6.53,5.1,47.0,19.5433333333
YGL036W,6.88,,47.0,26.94
YGL037C,23.28,,89.0,56.14
YGL038C,6.7,7.7,79.0,31.1333333333
YGL039W,15.67,6.3,31.0,17.6566666667
YGL040C,17.51,6.6,29.0,17.7033333333
YGL041W-A,,,27.0,27.0
YGL043W,15.84,8.1,38.0,20.6466666667
YGL044C,5.2,4.5,49.0,19.5666666667
YGL045W,,8.1,46.0,27.05
YGL047W,21.64,,53.0,37.32
YGL048C,29.07,12.3,31.0,24.1233333333
YGL049C,19.61,5.7,23.0,16.1033333333
YGL050W,9.78,3.3,15.0,9.36
YGL053W,7.74,,,7.74
YGL054C,21.73,9.8,30.0,20.51
YGL055W,16.45,9.2,17.0,14.2166666667
YGL056C,6.42,,37.0,21.71
YGL057C,5.92,3.0,33.0,13.9733333333
YGL058W,7.25,23.4,32.0,20.8833333333
YGL059W,8.15,14.0,66.0,29.3833333333
YGL060W,10.16,8.2,50.0,22.7866666667
YGL061C,6.9,2.3,22.0,10.4
YGL062W,36.54,46.1,29.0,37.2133333333
YGL063W,,2.7,11.0,6.85
YGL064C,5.25,2.7,29.0,12.3166666667
YGL065C,6.23,8.1,26.0,13.4433333333
YGL066W,5.59,7.4,41.0,17.9966666667
YGL067W,26.46,10.7,27.0,21.3866666667
YGL068W,10.62,5.5,28.0,14.7066666667
YGL070C,7.38,5.1,22.0,11.4933333333
YGL071W,3.81,4.6,31.0,13.1366666667
YGL073W,8.97,11.9,41.0,20.6233333333
YGL075C,,8.8,29.0,18.9
YGL076C,43.25,29.1,16.0,29.45
YGL077C,22.72,4.7,26.0,17.8066666667
YGL078C,15.45,4.0,7.0,8.81666666667
YGL079W,20.66,,21.0,20.83
YGL080W,9.0,7.3,21.0,12.4333333333
YGL082W,8.98,,42.0,25.49
YGL083W,11.27,7.4,22.0,13.5566666667
YGL084C,18.57,5.1,30.0,17.89
YGL085W,5.98,,34.0,19.99
YGL086W,6.43,5.1,31.0,14.1766666667
YGL087C,21.8,14.4,55.0,30.4
YGL090W,,,17.0,17.0
YGL091C,5.31,,39.0,22.155
YGL092W,11.91,13.1,19.0,14.67
YGL093W,10.53,13.1,40.0,21.21
YGL094C,7.1,5.2,26.0,12.7666666667
YGL095C,8.42,11.2,46.0,21.8733333333
YGL096W,,,90.0,90.0
YGL097W,20.37,8.4,26.0,18.2566666667
YGL098W,8.28,,16.0,12.14
YGL099W,19.37,6.8,9.0,11.7233333333
YGL100W,20.71,4.5,28.0,17.7366666667
YGL101W,8.86,,17.0,12.93
YGL103W,25.8,,17.0,21.4
YGL104C,,25.0,53.0,39.0
YGL105W,39.76,37.6,32.0,36.4533333333
YGL106W,16.92,22.3,35.0,24.74
YGL107C,4.53,3.7,39.0,15.7433333333
YGL108C,,4.0,25.0,14.5
YGL110C,6.17,6.5,33.0,15.2233333333
YGL111W,11.15,7.0,10.0,9.38333333333
YGL112C,19.73,4.9,22.0,15.5433333333
YGL113W,,2.8,17.0,9.9
YGL114W,13.3,,32.0,22.65
YGL115W,18.92,8.0,32.0,19.64
YGL116W,3.84,8.0,30.0,13.9466666667
YGL117W,17.81,,44.0,30.905
YGL119W,15.54,5.6,46.0,22.38
YGL120C,17.42,12.7,8.0,12.7066666667
YGL121C,,,107.0,107.0
YGL122C,10.04,5.9,48.0,21.3133333333
YGL123W,48.0,15.3,16.0,26.4333333333
YGL124C,9.85,4.2,34.0,16.0166666667
YGL125W,,7.7,32.0,19.85
YGL126W,20.1,12.8,17.0,16.6333333333
YGL127C,,5.5,30.0,17.75
YGL128C,3.89,5.9,,4.895
YGL129C,8.21,5.4,30.0,14.5366666667
YGL130W,12.47,,41.0,26.735
YGL131C,,,22.0,22.0
YGL133W,4.74,,31.0,17.87
YGL134W,5.92,,34.0,19.96
YGL135W,45.1,,15.0,30.05
YGL136C,7.87,,19.0,13.435
YGL137W,35.54,,30.0,32.77
YGL139W,11.7,4.5,21.0,12.4
YGL140C,13.16,,43.0,28.08
YGL141W,7.76,,58.0,32.88
YGL142C,12.35,5.0,44.0,20.45
YGL143C,8.34,4.7,25.0,12.68
YGL144C,5.81,3.1,21.0,9.97
YGL145W,7.84,4.2,28.0,13.3466666667
YGL147C,43.67,22.0,9.0,24.89
YGL148W,65.21,9.7,17.0,30.6366666667
YGL150C,14.53,17.9,29.0,20.4766666667
YGL151W,10.67,,40.0,25.335
YGL153W,17.14,10.6,33.0,20.2466666667
YGL154C,16.67,9.2,47.0,24.29
YGL155W,13.11,5.2,13.0,10.4366666667
YGL156W,,,91.0,91.0
YGL157W,40.08,,34.0,37.04
YGL158W,,,6.0,6.0
YGL159W,9.38,,27.0,18.19
YGL160W,12.48,7.0,46.0,21.8266666667
YGL161C,17.22,10.6,54.0,27.2733333333
YGL162W,3.85,5.6,10.0,6.48333333333
YGL163C,6.29,12.0,28.0,15.43
YGL164C,5.82,,,5.82
YGL166W,6.2,7.4,28.0,13.8666666667
YGL167C,19.75,7.5,40.0,22.4166666667
YGL168W,,10.2,,10.2
YGL169W,17.29,4.0,14.0,11.7633333333
YGL171W,10.4,4.3,6.0,6.9
YGL172W,13.22,9.9,22.0,15.04
YGL173C,29.47,24.0,27.0,26.8233333333
YGL174W,6.86,34.1,28.0,22.9866666667
YGL176C,3.06,,21.0,12.03
YGL178W,4.99,51.4,,28.195
YGL179C,8.21,10.2,38.0,18.8033333333
YGL180W,8.66,5.7,61.0,25.12
YGL181W,11.02,13.2,41.0,21.74
YGL184C,41.17,,59.0,50.085
YGL185C,11.0,,28.0,19.5
YGL186C,12.32,5.9,30.0,16.0733333333
YGL187C,12.69,7.0,29.0,16.23
YGL189C,27.46,,17.0,22.23
YGL190C,8.39,6.7,41.0,18.6966666667
YGL191W,13.87,31.5,63.0,36.1233333333
YGL192W,,8.4,,8.4
YGL193C,,,67.0,67.0
YGL194C,4.97,21.0,34.0,19.99
YGL194C-A,,,34.0,34.0
YGL195W,29.9,,31.0,30.45
YGL196W,13.7,33.8,32.0,26.5
YGL197W,11.34,33.0,46.0,30.1133333333
YGL198W,19.26,7.3,50.0,25.52
YGL200C,32.84,20.4,34.0,29.08
YGL201C,7.75,,20.0,13.875
YGL202W,37.83,,38.0,37.915
YGL203C,10.25,9.0,41.0,20.0833333333
YGL205W,,,39.0,39.0
YGL206C,26.81,,46.0,36.405
YGL207W,20.63,,40.0,30.315
YGL208W,,,31.0,31.0
YGL209W,4.02,4.0,69.0,25.6733333333
YGL210W,7.08,5.4,37.0,16.4933333333
YGL211W,8.22,4.3,20.0,10.84
YGL213C,14.57,5.0,27.0,15.5233333333
YGL215W,15.74,,42.0,28.87
YGL216W,5.8,4.7,42.0,17.5
YGL219C,7.51,15.9,42.0,21.8033333333
YGL220W,17.0,9.4,27.0,17.8
YGL221C,31.13,16.6,33.0,26.91
YGL222C,11.69,43.1,40.0,31.5966666667
YGL223C,7.27,4.7,43.0,18.3233333333
YGL224C,17.2,7.3,32.0,18.8333333333
YGL225W,41.22,10.2,28.0,26.4733333333
YGL226C-A,15.0,18.9,27.0,20.3
YGL226W,7.87,5.9,29.0,14.2566666667
YGL227W,7.87,20.5,60.0,29.4566666667
YGL228W,15.92,8.3,53.0,25.74
YGL229C,8.11,11.3,,9.705
YGL230C,32.1,,,32.1
YGL231C,21.95,5.6,37.0,21.5166666667
YGL232W,26.36,12.8,21.0,20.0533333333
YGL233W,11.15,,36.0,23.575
YGL234W,30.0,49.9,32.0,37.3
YGL236C,6.67,2.5,28.0,12.39
YGL237C,3.8,8.5,51.0,21.1
YGL238W,17.22,,27.0,22.11
YGL241W,9.72,11.1,26.0,15.6066666667
YGL242C,18.83,,33.0,25.915
YGL243W,12.94,2.7,20.0,11.88
YGL244W,19.17,13.6,37.0,23.2566666667
YGL245W,90.54,56.7,29.0,58.7466666667
YGL246C,11.52,3.7,17.0,10.74
YGL247W,4.7,27.0,32.0,21.2333333333
YGL248W,8.66,7.3,43.0,19.6533333333
YGL249W,,51.9,,51.9
YGL250W,,12.1,,12.1
YGL251C,,7.1,19.0,13.05
YGL252C,12.82,11.2,35.0,19.6733333333
YGL253W,44.55,19.6,29.0,31.05
YGL254W,,4.5,52.0,28.25
YGL255W,31.74,6.3,65.0,34.3466666667
YGL256W,13.56,3.9,17.0,11.4866666667
YGL257C,15.63,6.2,16.0,12.61
YGL258W,,,23.0,23.0
YGL261C,2.42,,,2.42
YGL263W,,4.8,13.0,8.9
YGR001C,31.22,,16.0,23.61
YGR002C,6.47,8.6,37.0,17.3566666667
YGR003W,7.86,6.4,55.0,23.0866666667
YGR004W,8.82,3.4,11.0,7.74
YGR005C,14.84,6.6,39.0,20.1466666667
YGR006W,,6.0,,6.0
YGR007W,12.63,4.7,32.0,16.4433333333
YGR008C,10.28,,161.0,85.64
YGR009C,11.37,8.2,42.0,20.5233333333
YGR010W,11.62,9.2,,10.41
YGR012W,12.52,13.2,25.0,16.9066666667
YGR013W,,6.8,39.0,22.9
YGR014W,11.69,3.6,42.0,19.0966666667
YGR015C,7.09,,31.0,19.045
YGR016W,,,19.0,19.0
YGR017W,10.29,,20.0,15.145
YGR019W,18.9,6.2,36.0,20.3666666667
YGR020C,39.48,19.6,28.0,29.0266666667
YGR021W,4.32,,20.0,12.16
YGR023W,,,58.0,58.0
YGR024C,16.4,6.2,33.0,18.5333333333
YGR026W,32.17,,53.0,42.585
YGR027C,35.52,23.0,27.0,28.5066666667
YGR028W,8.26,4.5,38.0,16.92
YGR029W,34.08,9.1,35.0,26.06
YGR030C,5.35,1.8,28.0,11.7166666667
YGR031W,9.59,7.0,44.0,20.1966666667
YGR032W,11.71,29.1,67.0,35.9366666667
YGR033C,8.39,7.2,21.0,12.1966666667
YGR034W,38.71,14.7,13.0,22.1366666667
YGR035C,,,27.0,27.0
YGR036C,3.87,5.7,24.0,11.19
YGR037C,21.96,10.2,21.0,17.72
YGR038W,13.47,5.0,39.0,19.1566666667
YGR040W,,3.8,20.0,11.9
YGR041W,6.57,4.7,21.0,10.7566666667
YGR042W,5.31,4.9,34.0,14.7366666667
YGR043C,,,58.0,58.0
YGR044C,17.84,7.6,40.0,21.8133333333
YGR046W,6.82,7.8,54.0,22.8733333333
YGR047C,6.15,4.1,21.0,10.4166666667
YGR048W,5.36,6.4,34.0,15.2533333333
YGR049W,10.06,9.0,16.0,11.6866666667
YGR052W,,,16.0,16.0
YGR054W,8.03,9.7,29.0,15.5766666667
YGR055W,11.77,,8.0,9.885
YGR056W,5.38,3.5,31.0,13.2933333333
YGR057C,7.61,5.2,29.0,13.9366666667
YGR058W,,3.8,20.0,11.9
YGR060W,24.55,17.9,58.0,33.4833333333
YGR061C,31.75,32.0,37.0,33.5833333333
YGR062C,5.92,4.6,41.0,17.1733333333
YGR063C,8.33,4.9,45.0,19.41
YGR065C,15.33,,73.0,44.165
YGR067C,,,40.0,40.0
YGR068C,,7.3,27.0,17.15
YGR070W,,,73.0,73.0
YGR071C,4.52,,29.0,16.76
YGR072W,8.65,3.5,21.0,11.05
YGR074W,,4.1,31.0,17.55
YGR075C,,3.3,,3.3
YGR076C,2.24,3.4,,2.82
YGR077C,7.64,7.7,43.0,19.4466666667
YGR078C,6.73,6.3,27.0,13.3433333333
YGR079W,7.86,,33.0,20.43
YGR080W,11.21,16.7,48.0,25.3033333333
YGR081C,5.81,1.5,14.0,7.10333333333
YGR082W,10.21,2.9,28.0,13.7033333333
YGR083C,13.72,5.1,17.0,11.94
YGR084C,5.95,4.1,34.0,14.6833333333
YGR085C,32.46,12.5,17.0,20.6533333333
YGR086C,26.27,12.5,30.0,22.9233333333
YGR087C,,12.5,35.0,23.75
YGR088W,,,62.0,62.0
YGR089W,7.26,4.5,36.0,15.92
YGR090W,9.41,,14.0,11.705
YGR091W,8.88,5.3,23.0,12.3933333333
YGR092W,5.31,8.4,36.0,16.57
YGR093W,9.06,,17.0,13.03
YGR094W,72.22,35.1,15.0,40.7733333333
YGR095C,6.16,4.2,14.0,8.12
YGR096W,,4.8,17.0,10.9
YGR097W,12.18,9.8,49.0,23.66
YGR098C,9.67,,21.0,15.335
YGR099W,7.35,,14.0,10.675
YGR100W,14.07,18.9,36.0,22.99
YGR101W,5.59,,31.0,18.295
YGR102C,10.31,16.1,69.0,31.8033333333
YGR103W,20.43,5.6,6.0,10.6766666667
YGR104C,10.11,5.6,41.0,18.9033333333
YGR105W,19.78,7.5,17.0,14.76
YGR106C,54.37,13.8,44.0,37.39
YGR108W,7.45,1.9,25.0,11.45
YGR109C,4.84,,28.0,16.42
YGR110W,,3.5,61.0,32.25
YGR111W,17.32,,52.0,34.66
YGR112W,5.33,6.3,43.0,18.21
YGR113W,3.63,7.0,37.0,15.8766666667
YGR116W,24.04,38.4,29.0,30.48
YGR117C,12.48,,36.0,24.24
YGR118W,33.34,16.6,17.0,22.3133333333
YGR119C,10.08,,30.0,20.04
YGR120C,7.17,3.2,19.0,9.79
YGR121C,9.45,5.7,30.0,15.05
YGR122W,9.31,3.4,40.0,17.57
YGR123C,22.26,4.6,8.0,11.62
