orf_name,miller,presnyak,geisberg,half_life
YDR087C,24.9,5.4,8.0,12.7666666667
YDR088C,3.75,3.9,,3.825
YDR089W,8.61,,54.0,31.305
YDR090C,5.36,,43.0,24.18
YDR091C,21.49,4.8,15.0,13.7633333333
YDR092W,16.21,7.5,27.0,16.9033333333
YDR093W,13.75,6.7,,10.225
YDR096W,7.15,9.1,47.0,21.0833333333
YDR097C,13.94,14.6,32.0,20.18
YDR098C,27.45,13.3,33.0,24.5833333333
YDR099W,26.51,29.4,58.0,37.97
YDR100W,18.25,10.1,25.0,17.7833333333
YDR101C,13.86,4.7,7.0,8.52
YDR103W,7.62,16.7,32.0,18.7733333333
YDR104C,,3.4,31.0,17.2
YDR105C,13.58,6.8,36.0,18.7933333333
YDR107C,26.6,6.3,22.0,18.3
YDR108W,7.7,3.4,30.0,13.7
YDR109C,,,41.0,41.0
YDR110W,9.59,6.7,26.0,14.0966666667
YDR111C,9.32,,10.0,9.66
YDR113C,5.95,3.4,28.0,12.45
YDR115W,6.41,4.8,32.0,14.4033333333
YDR116C,4.15,5.7,26.0,11.95
YDR117C,13.81,5.9,22.0,13.9033333333
YDR118W,9.71,15.5,,12.605
YDR119W,18.85,,33.0,25.925
YDR119W-A,,,41.0,41.0
YDR120C,18.61,3.1,9.0,10.2366666667
YDR121W,9.83,5.7,16.0,10.51
YDR122W,10.02,37.6,59.0,35.54
YDR124W,,,52.0,52.0
YDR125C,,8.8,,8.8
YDR126W,,4.6,,4.6
YDR127W,26.55,40.6,34.0,33.7166666667
YDR128W,16.47,44.1,43.0,34.5233333333
YDR129C,40.24,,39.0,39.62
YDR130C,5.86,12.8,42.0,20.22
YDR132C,5.87,6.4,20.0,10.7566666667
YDR135C,39.64,18.1,32.0,29.9133333333
YDR137W,5.89,,26.0,15.945
YDR139C,15.4,6.9,27.0,16.4333333333
YDR140W,8.0,,17.0,12.5
YDR141C,10.22,46.9,38.0,31.7066666667
YDR142C,4.01,,36.0,20.005
YDR143C,6.0,7.8,33.0,15.6
YDR144C,15.67,3.7,22.0,13.79
YDR145W,10.04,8.9,42.0,20.3133333333
YDR146C,7.49,3.9,26.0,12.4633333333
YDR147W,6.98,4.4,31.0,14.1266666667
YDR148C,32.55,17.1,66.0,38.55
YDR150W,11.39,39.4,36.0,28.93
YDR151C,6.39,,69.0,37.695
YDR152W,11.35,8.0,16.0,11.7833333333
YDR153C,6.29,6.2,32.0,14.83
YDR155C,53.68,21.4,,37.54
YDR156W,7.81,5.9,,6.855
YDR158W,84.0,42.1,23.0,49.7
YDR159W,5.17,6.6,27.0,12.9233333333
YDR160W,,13.7,27.0,20.35
YDR161W,19.03,,9.0,14.015
YDR162C,5.72,5.0,32.0,14.24
YDR163W,4.16,10.3,32.0,15.4866666667
YDR164C,7.77,7.3,35.0,16.69
YDR165W,16.97,4.3,9.0,10.09
YDR166C,7.97,,43.0,25.485
YDR167W,11.58,4.8,28.0,14.7933333333
YDR168W,23.91,53.7,35.0,37.5366666667
YDR169C,6.05,,38.0,22.025
YDR170C,36.98,53.4,25.0,38.46
YDR171W,19.92,,,19.92
YDR172W,25.45,30.5,27.0,27.65
YDR173C,7.52,,62.0,34.76
YDR174W,18.01,9.4,28.0,18.47
YDR175C,5.77,4.9,39.0,16.5566666667
YDR176W,4.9,3.6,21.0,9.83333333333
YDR177W,7.98,20.4,44.0,24.1266666667
YDR178W,13.95,17.6,110.0,47.1833333333
YDR179C,5.13,,12.0,8.565
YDR179W-A,7.58,,27.0,17.29
YDR180W,10.09,7.9,16.0,11.33
YDR181C,4.22,3.2,35.0,14.14
YDR182W,30.77,8.2,,19.485
YDR182W-A,,,42.0,42.0
YDR183W,10.03,,31.0,20.515
YDR184C,4.95,,,4.95
YDR185C,,,27.0,27.0
YDR186C,4.97,5.8,44.0,18.2566666667
YDR188W,25.44,8.1,17.0,16.8466666667
YDR189W,8.29,21.3,29.0,19.53
YDR190C,15.22,6.5,27.0,16.24
YDR191W,4.04,4.6,33.0,13.88
YDR192C,,4.8,20.0,12.4
YDR194C,13.42,4.4,39.0,18.94
YDR195W,5.87,21.4,42.0,23.09
YDR196C,18.06,14.1,54.0,28.72
YDR197W,6.73,9.9,45.0,20.5433333333
YDR198C,7.17,2.9,16.0,8.69
YDR200C,14.22,13.1,32.0,19.7733333333
YDR201W,9.96,5.9,19.0,11.62
YDR202C,15.51,20.0,61.0,32.17
YDR204W,26.92,27.0,55.0,36.3066666667
YDR205W,4.98,6.4,44.0,18.46
YDR206W,8.72,,36.0,22.36
YDR207C,5.24,7.2,11.0,7.81333333333
YDR208W,6.93,7.6,35.0,16.51
YDR210W,10.0,,23.0,16.5
YDR211W,19.32,8.2,31.0,19.5066666667
YDR212W,34.29,11.2,22.0,22.4966666667
YDR213W,,25.5,27.0,26.25
YDR214W,17.92,,35.0,26.46
YDR216W,6.0,,18.0,12.0
YDR217C,9.75,8.1,15.0,10.95
YDR219C,5.25,13.7,48.0,22.3166666667
YDR221W,18.51,15.6,33.0,22.37
YDR222W,9.1,,12.0,10.55
YDR223W,,,34.0,34.0
YDR224C,13.29,3.8,29.0,15.3633333333
YDR225W,14.84,2.3,27.0,14.7133333333
YDR226W,43.11,16.5,22.0,27.2033333333
YDR227W,8.99,5.1,28.0,14.03
YDR228C,6.08,52.9,34.0,30.9933333333
YDR229W,6.71,6.7,43.0,18.8033333333
YDR231C,13.38,6.9,75.0,31.76
YDR232W,18.14,4.3,26.0,16.1466666667
YDR233C,23.06,6.7,19.0,16.2533333333
YDR234W,25.96,12.2,17.0,18.3866666667
YDR235W,9.39,3.9,30.0,14.43
YDR236C,17.34,10.2,44.0,23.8466666667
YDR237W,7.8,5.3,28.0,13.7
YDR238C,26.73,,33.0,29.865
YDR239C,8.8,7.0,,7.9
YDR240C,6.23,3.4,17.0,8.87666666667
YDR242W,2.7,4.6,33.0,13.4333333333
YDR243C,6.11,5.6,13.0,8.23666666667
YDR244W,7.32,27.3,41.0,25.2066666667
YDR245W,10.65,3.5,29.0,14.3833333333
YDR246W,,10.6,,10.6
YDR247W,,13.8,50.0,31.9
YDR248C,18.15,,37.0,27.575
YDR249C,4.81,,,4.81
YDR251W,6.58,6.1,31.0,14.56
YDR252W,,5.0,,5.0
YDR253C,,,26.0,26.0
YDR254W,8.72,,,8.72
YDR255C,,31.8,33.0,32.4
YDR257C,9.6,,,9.6
YDR258C,9.65,,,9.65
YDR259C,11.3,,80.0,45.65
YDR260C,4.92,7.6,16.0,9.50666666667
YDR261C,19.1,26.6,,22.85
YDR262W,8.89,,192.0,100.445
YDR263C,,,43.0,43.0
YDR264C,16.59,7.0,44.0,22.53
YDR265W,5.66,,48.0,26.83
YDR266C,10.35,,22.0,16.175
YDR267C,8.38,3.4,27.0,12.9266666667
YDR268W,10.82,4.5,29.0,14.7733333333
YDR270W,5.19,5.1,82.0,30.7633333333
YDR272W,26.06,13.7,47.0,28.92
YDR273W,,,76.0,76.0
YDR275W,5.14,5.1,13.0,7.74666666667
YDR276C,11.67,10.0,33.0,18.2233333333
YDR277C,,8.2,221.0,114.6
YDR279W,14.05,4.0,15.0,11.0166666667
YDR280W,5.8,2.4,17.0,8.4
YDR281C,,,6.0,6.0
YDR282C,,,24.0,24.0
YDR283C,10.77,,47.0,28.885
YDR284C,20.71,6.9,44.0,23.87
YDR285W,,9.9,28.0,18.95
YDR286C,7.97,,47.0,27.485
YDR287W,32.12,16.4,46.0,31.5066666667
YDR288W,9.69,6.9,28.0,14.8633333333
YDR289C,5.6,5.5,31.0,14.0333333333
YDR291W,10.53,4.4,19.0,11.31
YDR292C,16.79,9.8,28.0,18.1966666667
YDR293C,14.27,33.7,42.0,29.99
YDR294C,21.46,,40.0,30.73
YDR295C,8.15,7.3,43.0,19.4833333333
YDR296W,8.52,5.8,31.0,15.1066666667
YDR297W,11.12,4.0,35.0,16.7066666667
YDR298C,19.69,6.9,69.0,31.8633333333
YDR299W,9.33,3.8,8.0,7.04333333333
YDR300C,14.94,3.2,14.0,10.7133333333
YDR301W,7.86,,33.0,20.43
YDR302W,12.02,3.3,17.0,10.7733333333
YDR303C,7.44,7.8,30.0,15.08
YDR304C,94.5,40.5,52.0,62.3333333333
YDR305C,30.02,,49.0,39.51
YDR306C,7.53,,44.0,25.765
YDR307W,14.24,,26.0,20.12
YDR308C,6.17,3.3,28.0,12.49
YDR309C,5.24,4.9,51.0,20.38
YDR310C,8.61,7.5,21.0,12.37
YDR311W,6.12,3.0,34.0,14.3733333333
YDR312W,7.6,3.4,14.0,8.33333333333
YDR313C,1.34,20.9,92.0,38.08
YDR314C,,23.5,42.0,32.75
YDR315C,14.22,8.7,,11.46
YDR316W,5.97,4.6,38.0,16.19
YDR317W,,,43.0,43.0
YDR318W,8.77,27.0,29.0,21.59
YDR319C,6.56,,43.0,24.78
YDR320C,10.4,10.2,36.0,18.8666666667
YDR320C-A,,5.2,33.0,19.1
YDR321W,43.35,15.5,10.0,22.95
YDR322C-A,9.33,10.5,57.0,25.61
YDR322W,7.65,3.6,21.0,10.75
YDR323C,13.99,5.0,,9.495
YDR324C,10.71,2.5,7.0,6.73666666667
YDR325W,9.08,8.0,15.0,10.6933333333
YDR326C,9.83,10.7,52.0,24.1766666667
YDR328C,40.03,23.9,46.0,36.6433333333
YDR329C,6.7,14.2,,10.45
YDR330W,8.79,21.1,56.0,28.63
YDR331W,6.05,4.4,28.0,12.8166666667
YDR332W,8.25,6.4,32.0,15.55
YDR333C,10.79,7.1,35.0,17.63
YDR334W,7.67,6.9,30.0,14.8566666667
YDR335W,9.6,,38.0,23.8
YDR336W,9.04,,27.0,18.02
YDR337W,7.79,4.7,24.0,12.1633333333
YDR338C,,,48.0,48.0
YDR339C,6.56,3.5,31.0,13.6866666667
YDR341C,51.68,57.6,14.0,41.0933333333
YDR342C,12.25,,,12.25
YDR343C,12.26,,15.0,13.63
YDR345C,26.98,5.8,63.0,31.9266666667
YDR346C,26.11,6.8,21.0,17.97
YDR347W,9.2,6.8,30.0,15.3333333333
YDR348C,6.81,4.6,24.0,11.8033333333
YDR349C,11.91,7.4,53.0,24.1033333333
YDR350C,4.04,5.8,52.0,20.6133333333
YDR351W,7.18,,64.0,35.59
YDR352W,5.86,7.9,32.0,15.2533333333
YDR353W,25.99,12.8,27.0,21.93
YDR354W,13.38,4.4,28.0,15.26
YDR356W,8.78,3.7,23.0,11.8266666667
YDR357C,6.3,14.7,32.0,17.6666666667
YDR358W,9.33,,66.0,37.665
YDR359C,5.58,,15.0,10.29
YDR361C,17.64,3.3,9.0,9.98
YDR362C,8.45,5.2,20.0,11.2166666667
YDR363W,,3.2,18.0,10.6
YDR363W-A,10.99,11.7,44.0,22.23
YDR364C,6.6,,14.0,10.3
YDR365C,7.29,4.8,,6.045
YDR367W,31.43,3.1,14.0,16.1766666667
YDR368W,46.76,57.9,28.0,44.22
YDR369C,,3.7,31.0,17.35
YDR370C,7.45,2.2,33.0,14.2166666667
YDR371W,10.01,,58.0,34.005
YDR372C,14.67,19.0,42.0,25.2233333333
YDR373W,22.59,14.3,58.0,31.63
YDR374W-A,,9.0,48.0,28.5
YDR375C,8.1,4.6,28.0,13.5666666667
YDR376W,24.96,12.2,36.0,24.3866666667
YDR377W,15.64,10.1,50.0,25.2466666667
YDR378C,17.08,7.8,39.0,21.2933333333
YDR379C-A,3.78,11.0,40.0,18.26
YDR379W,6.94,7.3,47.0,20.4133333333
YDR380W,21.64,,32.0,26.82
YDR381C-A,7.92,4.6,68.0,26.84
YDR381W,15.66,5.1,25.0,15.2533333333
YDR382W,27.02,22.8,14.0,21.2733333333
YDR383C,,,46.0,46.0
YDR384C,13.42,6.9,8.0,9.44
YDR385W,69.13,,16.0,42.565
YDR386W,,5.7,31.0,18.35
YDR387C,8.67,,49.0,28.835
YDR388W,46.73,44.6,40.0,43.7766666667
YDR389W,6.9,3.6,25.0,11.8333333333
YDR390C,7.4,5.5,16.0,9.63333333333
YDR391C,8.27,,45.0,26.635
YDR392W,4.73,6.7,39.0,16.81
YDR393W,,6.2,29.0,17.6
YDR394W,10.85,13.6,38.0,20.8166666667
YDR395W,14.71,51.5,15.0,27.07
YDR397C,9.35,,12.0,10.675
YDR398W,12.68,2.9,11.0,8.86
YDR399W,8.85,1.6,10.0,6.81666666667
YDR400W,19.48,5.2,,12.34
YDR402C,,,42.0,42.0
YDR403W,,,83.0,83.0
YDR404C,5.78,5.0,33.0,14.5933333333
YDR405W,4.35,6.6,44.0,18.3166666667
YDR406W,9.69,19.9,,14.795
YDR407C,11.52,,38.0,24.76
YDR408C,34.42,7.0,36.0,25.8066666667
YDR409W,,19.7,38.0,28.85
YDR410C,12.77,2.4,50.0,21.7233333333
YDR411C,17.9,12.4,46.0,25.4333333333
YDR412W,8.8,2.5,10.0,7.1
YDR414C,11.14,,26.0,18.57
YDR415C,10.81,,26.0,18.405
YDR416W,,4.8,22.0,13.4
YDR418W,34.98,18.3,16.0,23.0933333333
YDR419W,,2.2,32.0,17.1
YDR420W,9.86,5.4,40.0,18.42
YDR421W,12.86,21.7,38.0,24.1866666667
YDR422C,6.65,21.7,50.0,26.1166666667
YDR423C,5.73,12.5,,9.115
YDR424C,32.63,,33.0,32.815
YDR425W,4.19,38.6,51.0,31.2633333333
YDR427W,11.38,44.8,41.0,32.3933333333
YDR428C,19.83,,20.0,19.915
YDR429C,24.71,4.9,17.0,15.5366666667
YDR430C,6.64,51.5,32.0,30.0466666667
YDR432W,33.21,40.2,,36.705
YDR434W,18.74,9.4,29.0,19.0466666667
YDR435C,15.41,6.8,40.0,20.7366666667
YDR436W,5.36,8.3,66.0,26.5533333333
YDR437W,,1.1,,1.1
YDR438W,,4.7,47.0,25.85
YDR439W,4.69,,27.0,15.845
YDR440W,8.74,2.8,13.0,8.18
YDR441C,7.33,4.1,38.0,16.4766666667
YDR443C,,,43.0,43.0
YDR444W,6.84,,14.0,10.42
YDR447C,40.27,16.2,13.0,23.1566666667
YDR448W,4.82,17.8,22.0,14.8733333333
YDR449C,9.62,2.1,9.0,6.90666666667
YDR450W,35.24,29.4,13.0,25.88
YDR451C,3.96,2.5,36.0,14.1533333333
YDR452W,20.99,8.1,49.0,26.03
YDR453C,,50.6,51.0,50.8
YDR454C,68.95,58.4,15.0,47.45
YDR456W,17.18,8.6,43.0,22.9266666667
YDR457W,23.21,,45.0,34.105
YDR458C,8.91,4.2,34.0,15.7033333333
YDR459C,6.25,,27.0,16.625
YDR460W,15.84,5.2,31.0,17.3466666667
YDR461C-A,,,65.0,65.0
YDR461W,,,131.0,131.0
YDR462W,5.17,11.7,44.0,20.29
YDR463W,6.88,6.5,51.0,21.46
YDR464W,6.55,5.5,17.0,9.68333333333
YDR465C,20.53,3.4,7.0,10.31
YDR466W,3.48,11.2,49.0,21.2266666667
YDR468C,9.13,7.7,26.0,14.2766666667
YDR469W,10.12,6.6,31.0,15.9066666667
YDR470C,6.18,,41.0,23.59
YDR471W,19.7,5.2,15.0,13.3
YDR472W,5.88,2.6,27.0,11.8266666667
YDR473C,7.22,,21.0,14.11
YDR475C,8.84,12.3,41.0,20.7133333333
YDR476C,22.1,,66.0,44.05
YDR477W,11.02,6.4,38.0,18.4733333333
YDR478W,3.6,,10.0,6.8
YDR479C,5.85,14.2,50.0,23.35
YDR480W,,4.0,31.0,17.5
YDR481C,22.15,12.4,34.0,22.85
YDR482C,13.57,4.7,,9.135
YDR483W,52.45,32.0,50.0,44.8166666667
YDR484W,,4.9,34.0,19.45
YDR485C,7.08,8.2,45.0,20.0933333333
YDR486C,17.4,6.9,,12.15
YDR487C,34.04,8.1,27.0,23.0466666667
YDR488C,,13.8,21.0,17.4
YDR489W,4.74,14.6,30.0,16.4466666667
YDR490C,11.04,15.7,41.0,22.58
YDR492W,9.33,7.3,12.0,9.54333333333
YDR493W,,3.4,31.0,17.2
YDR494W,8.3,4.7,43.0,18.6666666667
YDR495C,7.24,,40.0,23.62
YDR496C,13.32,2.9,8.0,8.07333333333
YDR497C,32.0,6.1,17.0,18.3666666667
YDR498C,7.18,6.7,31.0,14.96
YDR499W,5.79,6.6,25.0,12.4633333333
YDR500C,19.52,29.2,18.0,22.24
YDR501W,,,36.0,36.0
YDR502C,35.67,,15.0,25.335
YDR503C,12.96,,39.0,25.98
YDR504C,7.9,,46.0,26.95
YDR505C,13.5,9.0,,11.25
YDR506C,,7.3,,7.3
YDR507C,8.52,4.9,37.0,16.8066666667
YDR508C,17.01,4.3,15.0,12.1033333333
YDR510W,19.98,11.3,27.0,19.4266666667
